,bird_en,bird_ru,desc_en,desc_ru,place_ru,place_en,size_ru,size_en
439,SNOWY EGRET,Белая американская цапля,"The snowy egret (Egretta thula) is a small white heron. The genus name comes from Provençal French for the little egret, aigrette, which is a diminutive of aigron, 'heron'. The species name thula is the Araucano term for the black-necked swan, applied to this species in error by Chilean naturalist Juan Ignacio Molina in 1782.

The snowy egret is the American counterpart to the very similar Old World little egret, which has become established in the Bahamas. At one time, the plumes of the snowy egret were in great demand as decorations for women's hats. They were hunted for these plumes and this reduced the population of the species to dangerously low levels. Now protected in the United States by law, under the Migratory Bird Treaty Act, this bird's population has rebounded.","Бе́лая америка́нская ца́пля (лат. Egretta thula) — вид птиц из рода белые цапли.Цапля около 61 см длиной, весящая 375 г. Клюв и ноги чёрного цвета, пальцы ярко-жёлтые. Верхняя часть основания клюва также жёлтого цвета. Неполовозрелые особи похожи на взрослых, однако отличаются от них более светлым основанием клюва и зелёной линией на задней части ног. Яйца овальной формы, сине-зеленоватого цвета, в количестве трёх—четырёх. Птенцы покидают гнёзда через 20—25 дней после вылупления.

Белые американские цапли питаются мелкими рыбами, ракообразными, насекомыми и рептилиями.",,,,
440,SNOWY OWL,Белая сова,"The snowy owl (Bubo scandiacus), also known as the polar owl, the white owl and the Arctic owl, is a large, white owl of the true owl family. Snowy owls are native to the Arctic regions of both North America and the Palearctic, breeding mostly on the tundra. It has a number of unique adaptations to its habitat and lifestyle, which are quite distinct from other extant owls. One of the largest species of owl, it is the only owl with mainly white plumage. Males tend to be a purer white overall while females tend to more have more extensive flecks of dark brown. Juvenile male snowy owls have dark markings that may appear similar to females until maturity, at which point they typically turn whiter. The composition of brown markings about the wing, although not foolproof, is the most reliable technique to age and sex individual snowy owls.: 48 ","Белая сова́, или полярная сова, или белая полярная сова (лат. Bubo scandiacus, Nyctea scandiaca), — вид птиц из семейства совиных. Обитает в арктических регионах Северной Америки и Палеарктики, размножается в основном в тундре. Является одним из крупнейших представителей отряда совообразных; самки крупнее самцов и могут достигать до 70 см в длину (по неподтверждённым данным до 75 см) при размахе крыльев до 180 см, самцы достигают в длину до 65 см, а размах их крыльев достигает 120—160 см. Масса тела самок до 2,5 кг, самцов до 1,8 килограммов.

Является единственной совой с полностью или почти полностью белым оперением. Окраска самцов светлее, у самок гораздо чаще встречаются обширные пятна темно-коричневого цвета. У молодых самцов также имеются темные отметины, из-за которых они становятся похожими на самок. После достижения половой зрелости их оперение обычно становится белее.",,,,
441,SNOWY PLOVER,Снежная ржанка,"The snowy plover (Charadrius nivosus) is a small wader in the plover bird family, typically about 5-7"" in length. It breeds in the southern and western United States, the Caribbean, Ecuador, Peru, and Chile. Long considered to be a subspecies of the Kentish plover, it is now known to be a distinct species.

Parts of or entire beaches along the Central California coast are protected as nesting sites for the snowy plover and completely restricted to humans. UC Santa Barbara and the Vandenberg Space Force Base are two organizations leading the effort for beaches near them.","Снежная ржанка ( Charadrius nivosus ) — это небольшой кулик из семейства ржанковых птиц , обычно около 5-7 дюймов в длину.  Он гнездится на юге и западе США, Карибском бассейне , Эквадоре , Перу и Чили . считается подвидом кентской ржанки , теперь известно, что это отдельный вид.

Части или целые пляжи вдоль побережья Центральной Калифорнии охраняются как места гнездования снежной ржанки и полностью запрещены для людей. Калифорнийский университет в Санта-Барбаре и база космических сил Ванденберг — две организации, возглавляющие усилия по благоустройству пляжей рядом с ними.",,,,
442,SORA,Каролинский погоныш,"The sora (Porzana carolina) is a small waterbird of the rail family Rallidae, sometimes also referred to as the sora rail or sora crake, that occurs throughout much of North America. The genus name Porzana is derived from Venetian terms for small rails, and the specific carolina refers to the Carolina Colony. The common name ""Sora"" is probably taken from a Native American language.

Adult soras are 19–30 cm (7.5–11.8 in) long, with dark-marked brown upperparts, a blue-grey face and underparts, and black and white barring on the flanks. They have a short thick yellow bill, with black markings on the face at the base of the bill and on the throat. Sexes are similar, but young soras lack the black facial markings and have a whitish face and buff breast. They weigh about 49–112 g (1.7–4.0 oz).

The sora's breeding habitat is marshes throughout much of North America. They nest in a well-concealed location in dense vegetation. The female usually lays 10 to 12 eggs, sometimes as many as 18, in a cup built from marsh vegetation. The eggs do not all hatch together. Both parents incubate and feed the young, who leave the nest soon after they hatch and are able to fly within a month.",Каролинский погоныш (лат. Porzana carolina) — вид птиц из семейства пастушковых.,,,,
443,SPANGLED COTINGA,Ошейниковая настоящая котинга,"The spangled cotinga (Cotinga cayana) is a species of bird in the family Cotingidae, the cotingas. It is found in the canopy of the Amazon Rainforest in South America.

Because of their bright, beautiful colours, cotingas have been hunted by native and colonial peoples for their feathers, as well as for food. The feathers of some species are used in making fishing flies and lures. The beauty of these birds draws birdwatchers from around the world and so may add to the local tourist economy.","Ошейниковая настоящая котинга (лат. Cotinga cayana) — вид птиц рода настоящих котинг семейства котинговых. Подвидов не выделяют. Обитает в тропическом лесу Амазонки. Из-за яркой окраски коренные народы охотились на блестящую настоящую котингу ради перьев, а также ради пищи. Перья некоторых видов (в том числе перья этого вида) используются для изготовления рыболовных мушек и приманок. Красота этих птиц привлекает орнитологов со всего мира, и таким образом вносит вклад в туристическую экономику.",,,,
444,SPLENDID WREN,Блестящий расписной малюр,"The splendid fairywren (Malurus splendens) is a passerine bird in the Australasian wren family, Maluridae. It is also known simply as the splendid wren or more colloquially in Western Australia as the blue wren. The splendid fairywren is found across much of the Australian continent from central-western New South Wales and southwestern Queensland over to coastal Western Australia. It inhabits predominantly arid and semi-arid regions. Exhibiting a high degree of sexual dimorphism, the male in breeding plumage is a small, long-tailed bird of predominantly bright blue and black colouration. Non-breeding males, females and juveniles are predominantly grey-brown in colour; this gave the early impression that males were polygamous as all dull-coloured birds were taken for females. It comprises several similar all-blue and black subspecies that were originally considered separate species.

Like other fairywrens, the splendid fairywren is notable for several peculiar behavioural characteristics; the birds are socially monogamous and sexually promiscuous, meaning that although they form pairs between one male and one female, each partner will mate with other individuals and even assist in raising the young from such trysts. Male wrens pluck pink or purple petals and display them to females as part of a courtship display.

The habitat of the splendid fairywren ranges from forest to dry scrub, generally with ample vegetation for shelter. Unlike the eastern superb fairywren, it has not adapted well to human occupation of the landscape and has disappeared from some urbanised areas. The splendid fairywren mainly eats insects and supplements its diet with seeds.","Блестящий расписной малюр (лат. Malurus splendens) — птица из семейства малюровых. Встречается в большей части Австралии, от центральной части западного Нового Южного Уэльса до юго-запада Квинсленда по всему побережью Западной Австралии. Населяет преимущественно аридные и полуаридные регионы. Имея сильный половой диморфизм, самец в брачном наряде представляет собой небольшую, длиннохвостую птицу с преимущественно ярко-синей и чёрной окраской. Самцы вне сезона размножения, самки и птенцы имеют преимущественно серо-коричневую окраску; создаётся впечатление, что особи мужского пола — полигамные, поскольку все птицы с бледным оперением принимались за самок. Вид включает в себя несколько похожих синих и чёрных подвидов, которые изначально считались отдельными видами.

Как и другие расписные малюры, блестящий расписной малюр отличается своеобразным поведением: птицы социально моногамные, но ведут беспорядочную половую жизнь, подразумевая, что хотя птицы и образуют пару «один самец — одна самка», каждый партнёр будет спариваться с другими особями и даже помогать в воспитании птенцов, появившихся на свет в результате таких встреч. Во время брачных игр самцы рвут розовые или фиолетовые лепестки и демонстрируют их самкам.

Среда обитания птицы простирается от леса до пустынных кустов обычно с достаточным количеством растительных укрытий. В отличие от прекрасного расписного малюра птица не так хорошо приспособилась к антропогенным ландшафтам и исчезла с некоторых урбанизированных территорий. Блестящий расписной малюр питается, в основном, насекомыми и семенами, дополняющие рацион птицы.",,,,
445,SPOON BILED SANDPIPER,Лопатень,"The spoon-billed sandpiper (Calidris pygmaea) is a small wader which breeds on the coasts of the Bering Sea and winters in Southeast Asia. This species is highly threatened, and it is said that since the 1970s the breeding population has decreased significantly. By 2000, the estimated breeding population of the species was 350–500.","Лопа́тень, или кулик-лопатень (лат. Calidris pygmeus) — вид птиц из семейства бекасовых, эндемик северо-востока России. Лопатень фигурирует в Красной книге России в качестве редкого, но в конце XX и начале XXI вв. численность вида резко падала. Поэтому с тех пор статус вида изменился, он признан международными природоохранными организациями (Международный союз охраны природы и BirdLife International) как вид на грани исчезновения.

Науке лопатень известен с момента его описания К.Линнеем в 1758 г., но тогда местом его обитания ошибочно был назван Суринам. На гнездовании на севере Чукотки лопатень обнаружен впервые в 1879 г. экспедицией Норденшельда в конце зимовки на судне «Вега». Первые яйца, птенцы и некоторые детали гнездовой биологии лопатня описаны в начале XX в. американскими исследователями. Углублённое изучение этого вида на местах размножения начато в 1970-х гг. вначале А. Я. Кондратьевым, затем П. С. Томковичем. С начала XXI в. начался этап мониторинга численности, выяснения причин сокращения численности и впоследствии мероприятий по сохранению этого кулика от исчезновения. В настоящее время этими работами занимается Русское общество Сохранения и изучения птиц (РОСИП) совместно с российскими и зарубежными партнёрами. На случай исчезновения вида в природе из собранных яиц в 2011—2012 гг. создана группировка лопатней в неволе в Тресте по водоплавающим птицам и водно-болотным угодьям (Waterfawl & Wetlands Trust) в Великобритании, а с 2012 г. начата программа «Путёвка в жизнь» по повышению продуктивности популяции лопатня на юге Чукотки. Одновременно на зимовках лопатня зарубежные партнёры РОСИП осуществляют работу с местным населением по снижению гибели там куликов.",,,,
446,SPOTTED CATBIRD,птица−кошка,"The spotted catbird (Ailuroedus maculosus) is a species of bowerbird (Ptilonorhynchidae) which can be found in north Queensland, the eastern Moluccas and New Guinea. Although it is a member of the bowerbird family it does not build a bower.

Widespread and common throughout its large range, the spotted catbird is evaluated as Least Concern on IUCN Red List of Threatened Species.","Ailuroedus maculosus (лат., возможное русское название — крапчатая птица−кошка) — вид воробьиных птиц из семейства шалашниковых (Ptilonorhynchidae). Найдены на севере Квинсленда, на востоке Молуккских островов и в Новой Гвинее.

Ailuroedus maculosus — один из десяти видов рода Ailuroedus, не строящих беседки. Заметное различие между двумя обитающими в Австралии видами — отсутствие чёрных кроющих ушей перьев и уменьшение пятен на спине у Ailuroedus crassirostris.

До 2016 года A. maculosus считался подвидом либо Ailuroedus melanotis, либо Ailuroedus crassirostris.",,,,
447,SPOTTED WHISTLING DUCK,Пятнистая свистящая утка,"The spotted whistling duck (Dendrocygna guttata) is a member of the duck family Anatidae. It is also referred to as the ""spotted tree duck"". This duck resides in Indonesia, New Guinea and the Philippines, but captive populations can be found elsewhere in the world.","Пятнистая свистящая утка, или пятнистая древесная утка (лат. Dendrocygna guttata) — вид свистящей или древесной утки.",,,,
448,SQUACCO HERON,Жёлтая цапля,"The squacco heron (Ardeola ralloides) is a small heron, 44–47 cm (17+1⁄2–18+1⁄2 in) long, of which the body is 20–23 cm (8–9 in), with 80–92 cm (31+1⁄2–36 in) wingspan. It is of Old World origins, breeding in southern Europe and the Greater Middle East.",Жёлтая ца́пля (Ardeola ralloides) — птица семейства цаплевых.,,,,
449,SRI LANKA BLUE MAGPIE,Цейлонская лазоревая сорока,"The Sri Lanka blue magpie or Ceylon magpie (Urocissa ornata) is a brightly coloured member of the family Corvidae, found exclusively in Sri Lanka. This species is adapted to hunting in the dense canopy, where it is highly active and nimble. Its flight is rather weak, though, and is rarely used to cover great distances. In spite of the Sri Lanka blue magpie's ability to adapt to the presence of humans, it is classified as vulnerable to extinction due to the fragmentation and destruction of its habitat of dense primary forest in the wet zone of southern Sri Lanka.",Цейлонская лазоревая сорока (лат. Urocissa ornata) — вид птиц из семейства врановых. Эндемик горных лесов Шри-Ланки. Угрозу для популяции этих птиц представляет возможная утрата мест обитания.,,,,
450,STEAMER DUCK,Утки-пароходы,"The steamer ducks are a genus (Tachyeres) of ducks in the family Anatidae. All of the four species occur at the southern cone of South America in Chile and Argentina, and all except the flying steamer duck are flightless; even this one species capable of flight rarely takes to the air. They can be aggressive and are capable of chasing off predators like petrels. Bloody battles of steamer ducks with each other over territory disputes are observed in nature. They even kill waterbirds that are several times their size.","Утки-пароходы (лат. Tachyeres) — род водоплавающих птиц из семейства утиных. Все четыре вида встречаются в южной части Южной Америки в Чили и Аргентине, и все виды, кроме патагонской утки-парохода, не летают; даже этот единственный вид, способный летать, редко поднимается в воздух. Название рода Tachyeres, «имеющий быстрые весла» или «быстрый гребец», происходит от древнегреческого ταχυ- «быстрый» + ἐρέσσω «я гребу (как с веслами)». Общее название «утки-пароходы» возникло из-за того, что когда они быстро плавают, то хлопают крыльями в воде, а также используют свои ноги, создавая эффект, похожий на работу колесного парохода. Они могут быть агрессивными и способны отгонять хищников, таких как буревестники. В природе наблюдаются кровопролитные сражения уток-пароходов друг с другом из-за территориальных споров. Они даже убивают водоплавающих птиц, которые в несколько раз больше их.",,,,
451,STORK BILLED KINGFISHER,Аистоклювый зимородок,"The stork-billed kingfisher (Pelargopsis capensis), is a tree kingfisher which is widely but sparsely distributed in the tropical Indian subcontinent and Southeast Asia, from India to Indonesia. This kingfisher is resident throughout its range.

It is a very large kingfisher, measuring 35 cm (14 in) in length. The adult has a green back, blue wings and tail, and olive-brown head. Its underparts and neck are buff. The very large bill and legs are bright red. The flight of the stork-billed kingfisher is laboured and flapping, but direct. Sexes are similar. There are 13 races or subspecies, differing mostly in plumage detail, but P. c. gigantea of the Sulu Archipelago in the Philippines has a white head, neck and underparts. The call of this noisy kingfisher is a low and far reaching peer-por-por repeated about every 5 seconds, as well cackling ke-ke-ke-ke-ke-ke.","Аистоклювый зимородок, или аистоклю́вый гуриа́л (лат. Pelargopsis capensis) — азиатская птица семейства зимородковых.",,,,
452,STRIATED CARACARA,Южная горная каракара,"The striated caracara or Forster's caracara (Phalcoboenus australis) is a Near Threatened bird of prey of the family Falconidae, the falcons and caracaras. It is found in Argentina, Chile, and the Falkland Islands. In the Falklands it is known as the Johnny rook, probably named after the Johnny penguin (gentoo penguin).",Южная горная каракара (лат. Phalcoboenus australis) — вид птиц из семейства соколиных.,,,,
453,STRIPED OWL,Полосатая сова,"The striped owl (Asio clamator) is a medium-sized owl with large ear tufts and a brownish-white facial disk rimmed with black. Its beak is black, and it has cinnamon-colored eyes. It has shorter, rounder wings than most of its close relatives. The upperparts are cinnamon with fine black vermiculation and heavy stripes. The underparts are pale tawny with dusky streaks. It is native to South America and parts of Central America.","Полосатая сова  (лат. Pseudoscops clamator) — птица семейства совиных, встречающаяся в Центральной и Южной Америках. Вместе с Ямайской совкой включается в род Pseudoscops. Ранее орнитологи классифицировали полосатую сову как представителя рода Asio либо представителя монотипического рода Rhinoptynx.",,,,
454,STRIPPED MANAKIN,восточный полосатый манакин,"The kinglet manakin or eastern striped manakin (Machaeropterus regulus) is a small South American species of passerine bird in the manakin family Pipridae. It is found in the Atlantic Forest of south eastern Brazil. It was formerly considered conspecific with the striolated manakin (Machaeropterus striolatus) with the common name ""striped manakin"". Males have a bright red crown, which the females lack.

The kinglet manakin was described by the German zoologist Carl Wilhelm Hahn in 1819 and given the binomial name Pipra regulus. The species is now placed in the genus Machaeropterus that was introduced by the French naturalist Charles Lucien Bonaparte in 1854. The species is monotypic.

Like many other manakins, the males cluster in a leks to attract females. After mating, the females rear the chicks on without the help of the males.","Король -манакин или восточный полосатый манакин ( Machaeropterus regulus ) — небольшой южноамериканский вид воробьиных птиц семейства манакинов Pipridae . Встречается в Атлантическом лесу на юго-востоке Бразилии . Раньше он считался конспецифичным с полосатым манакином ( Machaeropterus striolatus ) с общим названием «полосатый манакин». Самцы имеют ярко-красную корону, которой нет у самок.

Король-манакин был описан немецким зоологом Карлом Вильгельмом Ганом в 1819 году и получил биномиальное имя Pipra regulus .  В настоящее время этот вид отнесен к роду Machaeropterus , который был введен французским натуралистом Шарлем Люсьеном Бонапартом в 1854 году .  Этот вид является монотипным . 

Как и многие другие манакины , самцы собираются в токи , чтобы привлечь самок. После спаривания самки выкармливают птенцов без помощи самцов.",,,,
455,STRIPPED SWALLOW,Малая полосатая ласточка,The lesser striped swallow (Cecropis abyssinica) is a large swallow. It breeds in Sub-Saharan Africa from Sierra Leone and southern Sudan south into eastern South Africa. It is partially migratory with South African birds wintering further north. West African birds leave the north of the breeding range in the dry season.,"Малая полосатая ласточка ( Cecropis abyssinica ) — крупная ласточка . Он гнездится в Африке к югу от Сахары от Сьерра-Леоне и южного Судана на юг до восточной части Южной Африки . Он частично мигрирует , а южноафриканские птицы зимуют дальше на север. Западноафриканские птицы покидают север гнездового ареала в сухой сезон.",,,,
456,SUNBITTERN,Солнечная цапля,"The sunbittern (Eurypyga helias) is a bittern-like bird of tropical regions of the Americas, and the sole member of the family Eurypygidae (sometimes spelled Eurypigidae) and genus Eurypyga. It is found in Central and South America, and has three subspecies. The sunbittern shows both morphological and molecular similarities with the kagu (Rhynochetos jubatus) of New Caledonia, indicating a gondwanic origin, both species being placed in the clade Eurypygiformes.","Солнечная цапля, или солнечная птица (лат. Eurypyga helias) — единственный вид монотипичного семейства Eurypygidae, птица родом из тропических районов Центральной и Южной Америки. Классификация окончательно не определена; считается, что ближайшим родственником этого вида является птица кагу (Rhynochetos jubatus) из Новой Каледонии. . Некоторые орнитологи предполагают родственные связи с цветными бекасами (Rostratulidae).  По морфологическими и поведенческим признакам схожи с цаплевыми, в частности выпями (Botaurus) и волчками (Ixobrychus). В условиях неволи живёт в среднем 15 лет.",,,,
457,SUPERB STARLING,Трёхцветный спрео,The superb starling (Lamprotornis superbus) is a member of the starling family of birds. It was formerly known as Spreo superbus.,"Трёхцве́тный спрео, или великоле́пный скворе́ц (лат. Lamprotornis superbus), — восточноафриканская певчая птица семейства скворцовых.",,,,
458,SURF SCOTER,Пестроносый турпан,"The surf scoter (Melanitta perspicillata) is a large sea duck native to North America. Adult males are almost entirely black with characteristic white patches on the forehead and the nape and adult females are slightly smaller and browner. Surf scoters breed in Northern Canada and Alaska and winter along the Pacific and Atlantic coasts of North America. Those diving ducks mainly feed on benthic invertebrates, mussels representing an important part of their diet.",Пестроносый турпан (лат. Melanitta perspicillata) — птица семейства утиные.,,,,
459,SWINHOES PHEASANT,Свайнова лофура,"Swinhoe's pheasant (Lophura swinhoii), also known as the Taiwan blue pheasant, is a bird of the pheasant subfamily in the fowl family Phasianidae. It is endemic to Taiwan. Along with the Mikado pheasant and Taiwan blue magpie, two other Taiwan endemics, Swinhoe's pheasant is sometimes considered an unofficial national symbol for Taiwan, as it bears the colours of the national flag (red, white, and blue).","Свайнова лофура, или свайнов фазан (лат. Lophura swinhoii), — вид птиц из семейства фазановых. Эндемик Тайваня. Вместе с двумя другими птицами иногда рассматривается как неофициальный национальный символ этого государства, так как её оперение повторяет цвета национального флага. Названа в честь британского натуралиста Роберта Свайно.",,,,
460,TAILORBIRD,Портнихи,"Tailorbirds are small birds, most belonging to the genus Orthotomus. While they were often placed in the Old World warbler family Sylviidae, recent research suggests they more likely belong in the Cisticolidae and they are treated as such in Del Hoyo et al. One former species, the mountain tailorbird (and therefore also its sister species rufous-headed tailorbird), is actually closer to an old world warbler genus Cettia.

They occur in the Old World tropics, principally in Asia.

These warblers are usually brightly colored, with green or grey upper parts and yellow white or grey under parts. They often have chestnut on the head.

Tailorbirds have short rounded wings, short tails, strong legs and long curved bills. The tail is typically held upright, like a wren. They are typically found in open woodland, scrub and gardens.

Tailorbirds get their name from the way their nest is constructed. The edges of a large leaf are pierced and sewn together with plant fibre or spider's web to make a cradle in which the actual grass nest is built.",Портнихи (лат. Orthotomus) — род небольших птиц из семейства цистиколовые.,,,,
461,TAIWAN MAGPIE,Толстоклювая лазоревая сорока,"The Taiwan blue magpie (Urocissa caerulea), also called the Taiwan magpie, Formosan blue magpie (Chinese: 臺灣藍鵲; pinyin: Táiwān lán què), or the ""long-tailed mountain lady"" (Chinese: 長尾山娘; pinyin: Chángwěi shānniáng; Taiwanese Hokkien: Tn̂g-boé soaⁿ-niû), is a bird species in the crow family. It is endemic to Taiwan.",Толстоклювая лазоревая сорока (лат. Urocissa caerulea) — один из видов лазоревых сорок из семейства врановых. Один из символов Тайваня.,,,,
462,TAKAHE,Такахе,"The South Island takahē (Porphyrio hochstetteri) is a flightless swamphen indigenous to New Zealand and the largest living member of the rail family. It is often known by the abbreviated name takahē, which it shares with the recently extinct North Island takahē. The two takahē species are also known as notornis.

Takahē were hunted extensively by Māori but was not named and described by Europeans until 1847, and then only from fossil bones. In 1850 a living bird was captured, and three more collected in the 19th century. After another bird was captured in 1898, and no more were to be found, the species was presumed extinct. Fifty years later, however, after a carefully planned search, South Island takahē were dramatically rediscovered in 1948 by Geoffrey Orbell in an isolated valley in the South Island's Murchison Mountains. The species is now managed by the New Zealand Department of Conservation, whose Takahē Recovery Programme maintains populations on several offshore islands as well as Takahē Valley. It has now been reintroduced to a second mainland site in Kahurangi National Park. Although South Island takahē are still a threatened species, their NZTCS status was downgraded in 2016 from Nationally Critical to Nationally Vulnerable. The population is 440 (as of October 2021) and is growing by 10 percent per year.","Така́хе, или бескры́лая султа́нка (лат. Porphyrio hochstetteri), — нелетающая редкая птица из семейства пастушковых, обитающая в горах Южного острова Новой Зеландии, около озера Те-Анау. Местное маорийское название — мохоау. Одно время считалась полностью вымершей, сейчас в Международной Красной книге имеет статус вида, которому угрожает опасность исчезновения (категория EN).",,,,
463,TASMANIAN HEN,Зеленоногая камышница,"The Tasmanian nativehen (Tribonyx mortierii) (palawa kani: piyura) (alternate spellings: Tasmanian native-hen or Tasmanian native hen) is a flightless rail and one of twelve species of birds endemic to the Australian island of Tasmania. Although many flightless birds have a history of extinction at the hands of humans, the species has actually benefited from the introduction of European-style agricultural practices in Tasmania. Its success may also be attributed to the recent extinction of its main predator, the thylacine.",Зеленоногая камышница (лат. Tribonyx mortierii) — нелетающая птица из семейства пастушковых. Вид описан в 1840 году и назван в честь бельгийского ботаника Бартелеми Дюмортье.,,,,
464,TAWNY FROGMOUTH,Дымчатый лягушкорот,"The tawny frogmouth (Podargus strigoides) is a species of frogmouth native to the Australian mainland and Tasmania and found throughout. It is a big-headed, stocky bird, often mistaken for an owl, due to its nocturnal habits and similar colouring, and sometimes, at least archaically, referred to as mopoke or mopawk, a name also used for the Australian boobook, the call of which is often confused with that of the tawny frogmouth.","Дымчатый лягушкорот, или совиный лягушкорот, или дымчатый белоног, или исполинский белоног (лат. Podargus strigoides), — вид птиц из семейства лягушкоротов.

МСОП присвоил таксону охранный статус «Виды, вызывающие наименьшие опасения» (LC).",,,,
465,TEAL DUCK,Чирок-свистунок,"The Eurasian teal (Anas crecca), common teal, or Eurasian green-winged teal is a common and widespread duck that breeds in temperate Eurosiberia and migrates south in winter. The Eurasian teal is often called simply the teal due to being the only one of these small dabbling ducks in much of its range. The bird gives its name to the blue-green colour teal.

It is a highly gregarious duck outside the breeding season and can form large flocks. It is commonly found in sheltered wetlands and feeds on seeds and aquatic invertebrates. The North American green-winged teal (A. carolinensis) was formerly (and sometimes is still) considered a subspecies of A. crecca.","Чиро́к-свистуно́к (лат. Anas crecca) — водоплавающая птица из семейства утиных. Самая маленькая из речных уток, она считается обычной и одной из самых многочисленных в пределах границ своего обитания. Гнездится в северном и умеренном климате Евразии, в том числе почти на всей территории России (за исключением крайних северных районов Сибири). Кроме того, в некоторых изданиях обитающий в Северной Америке зеленокрылый чирок рассматривается в качестве подвида чирка-свистунка, однако окончательного консенсуса по разделению этих двух видов пока ещё не достигнуто. Почти везде перелётная птица, зимует к западу и югу от гнездового ареала: в Западной и Южной Европе, Африке, Южной и Юго-Восточной Азии. Питается животными и растительными кормами. Гнездится отдельными парами, в остальное время ведёт стайный образ жизни. Объект промысловой охоты.",,,,
466,TIT MOUSE,Острохохлая синица,"The tufted titmouse (Baeolophus bicolor) is a small songbird from North America, a species in the tit and chickadee family (Paridae). The black-crested titmouse, found from central and southern Texas southward, was included as a subspecies but now is considered a separate species, Baeolophus atricristatus.",Острохо́хлая сини́ца (лат. Baeolophus bicolor) — певчая птица из семейства синицевых.,,,,
467,TOUCHAN,Тукановые,"Toucans (/ˈtuːkæn/, UK: /-kən/) are members of the Neotropical near passerine bird family Ramphastidae. The Ramphastidae are most closely related to the American barbets. They are brightly marked and have large, often colorful bills. The family includes five genera and over forty different species.

Toucans are arboreal and typically lay 2–4 white eggs in their nests. They make their nests in tree hollows and holes excavated by other animals such as woodpeckers—the toucan bill has very limited use as an excavation tool. When the eggs hatch, the young emerge completely naked, without any down. Toucans are resident breeders and do not migrate. Toucans are usually found in pairs or small flocks. They sometimes fence with their bills and wrestle, which scientists hypothesize they do to establish dominance hierarchies. In Africa and Asia, hornbills occupy the toucans' ecological niche, an example of convergent evolution.","Тука́новые (лат. Ramphastidae) — семейство птиц отряда дятлообразные. У туканов несоразмерно большой, сжатый с боков, ярко окрашенный клюв. Однако сам клюв, несмотря на свои размеры, сравнительно лёгок, из-за его пористой структуры. Самые крупные представители отряда дятлообразных. Насчитывают около 40 видов птиц, объединяемых в 6 родов.

Тукановые населяют равнинные и горные (до 3000 м) тропические леса Америки от южной Мексики до северной Аргентины. Гнездятся в естественных или выдолбленных дятлами дуплах.

Своё название эти птицы получили из-за того, что представители одного из их видов кричат «токано!» в разных тонах",,,,
468,TOWNSENDS WARBLER,Камышевка Таунсенда,Townsend's warbler (Setophaga townsendi) is a small songbird of the New World warbler family.,Камышевка Таунсенда ( Setophaga townsendi ) — небольшая певчая птица семейства камышевок Нового Света .,,,,
469,TREE SWALLOW,Древесная американская ласточка,"The tree swallow (Tachycineta bicolor) is a migratory bird of the family Hirundinidae. Found in the Americas, the tree swallow was first described in 1807 by French ornithologist Louis Vieillot as Hirundo bicolor. It has since been moved to its current genus, Tachycineta, within which its phylogenetic placement is debated. The tree swallow has glossy blue-green upperparts, with the exception of the blackish wings and tail, and white underparts. The bill is black, the eyes dark brown, and the legs and feet pale brown. The female is generally duller than the male, and the first-year female has mostly brown upperparts, with some blue feathers. Juveniles have brown upperparts, and a grey-brown-washed breast. The tree swallow breeds in the US and Canada. It winters along southern US coasts south, along the Gulf Coast, to Panama and the northwestern coast of South America, and in the West Indies.","Древесная американская ласточка, или речная ласточка (лат. Tachycineta bicolor) — американский вид певчих птиц семейства ласточковые.",,,,
470,TRICOLORED BLACKBIRD,Трёхцветный чёрный трупиал,"The tricolored blackbird (Agelaius tricolor) is a passerine bird of the family Icteridae. Its range is limited to the coastal areas of the Pacific coast of North America, from Northern California in the U.S. (with occasional strays into Oregon), to upper Baja California in Mexico.

This highly social and gregarious bird forms the largest colonies of any North American landbird, with a single breeding colony often consisting of tens of thousands of birds.

The common name is taken from the male bird's distinctive white stripes underneath their red shoulder patches, or ""epaulets"", which are visible when the bird is flying or displaying.

Despite the similar names, this bird is not related to the Old World common blackbird, which is a thrush (Turdidae).

The species' call sounds slightly more nasal than that of the red-wing's - a nasal kip and a sharp check. The male's song is a garbled on-ke-kaaangh. The bird migrates south during the colder seasons to Mexico and back to northern California during the warmer seasons.",Трёхцветный чёрный трупиал (лат. Agelaius tricolor) — вид птиц рода чёрные трупиалы семейства трупиаловых. Подвидов не выделяют.,,,,
